agent,phase,metric,mean,ci_lower,ci_upper
baseline,early,reward,0.38254423649999997,0.3813340632948675,0.3837544097051324
baseline,early,latency_ms,945.5301135,945.1323117071946,945.9279152928053
baseline,early,energy_efficiency,0.41246689999999997,0.41220558159125203,0.4127282184087479
baseline,early,task_scheduling_score,0.6418754,0.64042252356715,0.64332827643285
baseline,early,scalability_score,0.4590996,0.45804817633196054,0.46015102366803945
baseline,early,resource_allocation_score,0.45650784999999994,0.45512626305094184,0.45788943694905804
baseline,final,reward,0.522615555,0.5214963853602016,0.5237347246397984
baseline,final,latency_ms,935.597305,935.2854827067662,935.9091272932338
baseline,final,energy_efficiency,0.46717447999999995,0.4668686298948096,0.4674803301051903
baseline,final,task_scheduling_score,0.6456804,0.6447690995447972,0.6465917004552029
baseline,final,scalability_score,0.5041694000000001,0.5033876171219099,0.5049511828780903
baseline,final,resource_allocation_score,0.48686898,0.48591242887265834,0.48782553112734167
baseline,mid,reward,0.41403875766666665,0.41242823660969563,0.41564927872363766
baseline,mid,latency_ms,948.607809,948.1363529021849,949.0792650978151
baseline,mid,energy_efficiency,0.42588400000000004,0.42532678674471025,0.42644121325528983
baseline,mid,task_scheduling_score,0.6403249333333333,0.6390938053341445,0.6415560613325221
baseline,mid,scalability_score,0.47515380000000007,0.4741114668658515,0.47619613313414866
baseline,mid,resource_allocation_score,0.46160876666666667,0.46057342765926296,0.4626441056740704
costar,early,reward,0.41091388866666667,0.40978408471408007,0.4120436926192533
costar,early,latency_ms,948.6296446666665,948.1619060889394,949.0973832443937
costar,early,energy_efficiency,0.4245307000000001,0.4240808891587335,0.4249805108412667
costar,early,task_scheduling_score,0.6380647333333335,0.6368670298328508,0.6392624368338161
costar,early,scalability_score,0.47411856666666663,0.47319081722650896,0.4750463161068243
costar,early,resource_allocation_score,0.46089426666666666,0.4598620081722317,0.4619265251611016
costar,final,reward,0.42010429349999995,0.41941895981494104,0.42078962718505886
costar,final,latency_ms,940.7726315000001,940.570024113626,940.9752388863742
costar,final,energy_efficiency,0.42749315,0.4273508067266476,0.4276354932733524
costar,final,task_scheduling_score,0.646272225,0.6455419065802785,0.6470025434197215
costar,final,scalability_score,0.4687529125000001,0.46818361410259085,0.4693222108974094
costar,final,resource_allocation_score,0.46463086249999996,0.46393385684217614,0.4653278681578238
costar,mid,reward,0.41398817299999996,0.4127147758982954,0.4152615701017045
costar,mid,latency_ms,950.890487,950.5594983165238,951.2214756834762
costar,mid,energy_efficiency,0.4250424400000001,0.4246634352181554,0.42542144478184474
costar,mid,task_scheduling_score,0.6377098399999999,0.6367720732252744,0.6386476067747253
costar,mid,scalability_score,0.47767415999999996,0.4768289668939004,0.4785193531060995
costar,mid,resource_allocation_score,0.46216206,0.4613263773995269,0.46299774260047305
dreamerv3,early,reward,0.3963050573333333,0.39520228427545634,0.3974078303912103
dreamerv3,early,latency_ms,943.7106426666667,943.381185177175,944.0401001561584
dreamerv3,early,energy_efficiency,0.41722339999999997,0.41697897277713897,0.41746782722286097
dreamerv3,early,task_scheduling_score,0.6418598,0.6406693892298516,0.6430502107701483
dreamerv3,early,scalability_score,0.46317963333333334,0.4623186781074632,0.4640405885592035
dreamerv3,early,resource_allocation_score,0.4596126666666666,0.45844963137119166,0.46077570196214157
dreamerv3,final,reward,0.45553305950000006,0.45463568818556305,0.45643043081443707
dreamerv3,final,latency_ms,940.343003,940.1208923064926,940.5651136935073
dreamerv3,final,energy_efficiency,0.44216515,0.4419059118371742,0.4424243881628258
dreamerv3,final,task_scheduling_score,0.64636385,0.6456253124438465,0.6471023875561535
dreamerv3,final,scalability_score,0.478745775,0.47827029915613234,0.47922125084386763
dreamerv3,final,resource_allocation_score,0.4749651375,0.47416459420760915,0.4757656807923909
dreamerv3,mid,reward,0.5183785588,0.5176060936804767,0.5191510239195234
dreamerv3,mid,latency_ms,940.0094011999998,939.7650062137577,940.253796186242
dreamerv3,mid,energy_efficiency,0.4678796799999999,0.46771305064268215,0.46804630935731767
dreamerv3,mid,task_scheduling_score,0.64679954,0.645874607525573,0.6477244724744269
dreamerv3,mid,scalability_score,0.50369236,0.502957235455023,0.5044274845449769
dreamerv3,mid,resource_allocation_score,0.48681591999999996,0.4858958701411462,0.4877359698588537
hydra,early,reward,0.4862921143333333,0.48458667181264,0.4879975568540266
hydra,early,latency_ms,945.2443190000001,944.8488836317383,945.639754368262
hydra,early,energy_efficiency,0.45354536666666667,0.45305880009654936,0.454031933236784
hydra,early,task_scheduling_score,0.6394949000000001,0.6383382987553401,0.6406515012446601
hydra,early,scalability_score,0.4975928333333333,0.4966057305110168,0.4985799361556498
hydra,early,resource_allocation_score,0.4803982333333334,0.4791129942962893,0.48168347237037756
hydra,final,reward,0.5179532443749999,0.5172605526887056,0.5186459360612942
hydra,final,latency_ms,938.5790556249998,938.3684128524214,938.7896983975781
hydra,final,energy_efficiency,0.4671208875,0.4669228944636395,0.46731888053636056
hydra,final,task_scheduling_score,0.6461554374999999,0.6454313278756338,0.646879547124366
hydra,final,scalability_score,0.5027069875000001,0.502143191938902,0.5032707830610982
hydra,final,resource_allocation_score,0.486704425,0.48595577559009073,0.48745307440990926
hydra,mid,reward,0.34615639820000005,0.34524798165917614,0.34706481474082396
hydra,mid,latency_ms,949.9394818,949.6008897093728,950.2780738906271
hydra,mid,energy_efficiency,0.39813166,0.397831525813636,0.398431794186364
hydra,mid,task_scheduling_score,0.6380500400000001,0.637122342420863,0.6389777375791372
hydra,mid,scalability_score,0.45058364,0.4499045996048745,0.4512626803951255
hydra,mid,resource_allocation_score,0.44738057999999997,0.4465676462423253,0.44819351375767463
tdmpc2,early,reward,0.49936105033333333,0.4983282398504213,0.5003938608162454
tdmpc2,early,latency_ms,942.2650496666668,941.9391088738696,942.5909904594639
tdmpc2,early,energy_efficiency,0.45934126666666664,0.4591260936735209,0.45955643965981235
tdmpc2,early,task_scheduling_score,0.6428786999999999,0.6416894819046302,0.6440679180953697
tdmpc2,early,scalability_score,0.4998676333333333,0.4989392314676276,0.500796035199039
tdmpc2,early,resource_allocation_score,0.4824172,0.48121965093971836,0.4836147490602816
tdmpc2,final,reward,0.44010648550000003,0.4394468193799266,0.4407661516200735
tdmpc2,final,latency_ms,941.321527,941.1084925623427,941.5345614376572
tdmpc2,final,energy_efficiency,0.43595035,0.435812173262526,0.43608852673747395
tdmpc2,final,task_scheduling_score,0.6460233875,0.645291605921463,0.646755169078537
tdmpc2,final,scalability_score,0.475754675,0.47521028790427267,0.47629906209572737
tdmpc2,final,resource_allocation_score,0.4697229875,0.4690025321932934,0.47044344280670664
tdmpc2,mid,reward,0.489621999,0.4887097363614022,0.49053426163859776
tdmpc2,mid,latency_ms,945.3875609999999,945.1185254337165,945.6565965662833
tdmpc2,mid,energy_efficiency,0.45578293999999997,0.4555144115903224,0.45605146840967753
tdmpc2,mid,task_scheduling_score,0.6404195999999999,0.6395120314715017,0.641327168528498
tdmpc2,mid,scalability_score,0.49937048,0.49861574506907536,0.5001252149309247
tdmpc2,mid,resource_allocation_score,0.47985614,0.47895243242157554,0.48075984757842444
